full breakdown is:
Lool invalid =37,736 bm
Demonic 00-40-8F-13-2D-85 =37,500 bm
Millyv2 00-E0-4C-46-32-EE =36,700 bm
Mom 90-F6-52-55-7D-21 =36,025 bm
Rspss 9C-30-5B-F8-FD-CD =35,750 bm
Dawlat A8-5E-45-70-4F-AE =35,604 bm
Wallahi 28-3A-4D-14-6F-49 =35,557 bm
The Frick 18-C0-4D-08-CF-8F =35,000 bm
St D0-37-45-7E-34-68 =35,000 bm
Sexy Granny 48-D7-05-E0-CC-6D =34,310 bm
Low Key E8-4E-06-7F-CC-A4 =34,134 bm
Madmat38 1C-87-2C-5E-3A-F8 =34,087 bm
Runelite2 D0-37-45-7E-34-68 =34,000 bm
Beware 02-13-FB-A0-81-23 =32,633 bm
King Roal BC-30-7D-12-B4-AD =32,430 bm
Rock36 74-29-AF-E7-C8-13 =32,000 bm
I V I C0-18-85-0B-49-2B =31,473 bm
Ingot E0-D5-5E-A3-88-54 =30,809 bm
Kap0k 44-03-2C-BD-62-8A =30,150 bm
Re Ve R Se F4-4D-30-77-B7-32 =30,000 bm
Kim19 D8-CB-8A-BF-A3-6A =29,646 bm
Joe 0C-54-15-F1-48-66 =29,500 bm
Lord 44-03-2C-BD-2E-3C =27,500 bm
Nig Nog 46-66-03-11-47-B3 =27,473 bm
Bellino Kid 7C-B2-7D-BB-75-D8 =27,000 bm
Fumiii 9C-30-5B-F8-FD-CD =26,995 bm
Zill 00-25-D3-F1-28-83 =26,699 bm
Bewts B4-69-21-0C-39-01 =26,350 bm
Shitstain E0-D5-5E-A3-88-54 =25,366 bm
Pid Dds 9C-30-5B-F8-FD-CD =25,000 bm
Cleaner 18-C0-4D-08-CF-8F =25,000 bm
NBA 9C-30-5B-F8-FD-CD =25,000 bm
Feroxed 6C-71-D9-DD-7C-F2 =24,780 bm
Nonya A4-83-E7-80-CE-1E =24,229 bm
Friends List B4-18-D1-E4-D1-13 =24,193 bm
Onige 00-FF-55-B4-76-76 =24,111 bm
V2 7C-C2-C6-05-8A-AB =24,000 bm
Burgess33 B8-6B-23-53-15-0E =22,500 bm
ETH B8-EE-65-E5-C3-EA =22,500 bm
Worthless 00-E0-4C-46-32-EE =22,153 bm
O  K 28-B2-BD-84-E6-2B =21,655 bm
Elwiraaa 10-F0-05-03-CC-F3 =21,083 bm
Coors 0A-00-27-00-00-1C =21,000 bm
Cloudy C4-9D-ED-0F-DC-DD =20,325 bm
22 invalid =20,000 bm
Dsn1 94-B8-6D-CA-5D-91 =20,000 bm
